time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
527.22800000,0.00693112,6911,0.00032976,0.00000000,0,0.00000000,266,325,78,0.00000000
527.32800000,0.00448200,6911,0.00036208,0.00000000,0,0.00000000,325,302,73,0.00425650
527.42800000,0.00410057,6911,0.00019916,0.00000000,0,0.00000000,302,322,60,0.00308832
527.52800000,0.00776799,6911,0.00025118,0.00000000,0,0.00000000,322,324,48,0.00241246
527.62900000,0.00402003,6911,0.00019495,0.00000000,0,0.00000000,324,307,51,0.00233312
527.72900000,0.00738693,6911,0.00024949,0.00000000,0,0.00000000,307,322,46,0.00324690
527.82800000,0.00466980,6911,0.00017890,0.00000000,0,0.00000000,322,319,37,0.00295243
527.92900000,0.00443087,6911,0.00013008,0.00000000,0,0.00000000,319,311,20,0.00296025
528.02800000,0.00384198,6911,0.00009763,0.00000000,0,0.00000000,311,320,14,0.00255062
528.13000000,0.00496765,6911,0.00012874,0.00000000,0,0.00000000,320,315,23,0.00304872
528.22900000,0.00654093,6911,0.00004753,0.00000000,0,0.00000000,315,318,6,0.00986905
528.32900000,0.00511142,6911,0.00007027,0.00000000,0,0.00000000,318,314,8,0.00203763
528.42900000,0.00383932,6911,0.00001608,0.00000000,0,0.00000000,314,318,4,0.00248148
528.52800000,0.00685373,6911,0.00007032,0.00000000,0,0.00000000,318,303,4,0.00222942
528.62800000,0.00248251,6911,0.00001857,0.00000000,0,0.00000000,303,305,6,0.00223074
528.72800000,0.00173253,6911,0.00002085,0.00000000,0,0.00000000,305,301,5,0.00337619
528.82800000,0.00216847,6911,0.00000737,0.00000000,0,0.00000000,301,304,3,0.00273718
528.92800000,0.00401527,6911,0.00001317,0.00000000,0,0.00000000,304,307,3,0.00232807
529.02900000,0.00363712,6911,0.00008529,0.00000000,0,0.00000000,307,327,27,0.00234521
529.32800000,0.00387491,6911,0.00001218,0.00000000,0,0.00000000,327,329,2,0.00261168
529.42800000,0.00552753,6911,0.00004855,0.00000000,0,0.00000000,329,331,6,0.00095064
